,date,open,close,polarity,subjectivity,neg,neu,pos,compound,change,diection,std_chang,std_polar
0,2022-04-11,326.8,325.31,0.088006131,0.280925813,0.027053333,0.8793,0.093649333,0.206848533,-1.49,down,-0.048128574,-0.033924324
1,2022-04-12,332.547,328.983,0.104670969,0.292056927,0.030911111,0.876902778,0.092188889,0.185046389,-3.564,down,-0.271125085,0.394838329
2,2022-04-13,327.025,340.79,0.099795092,0.313878823,0.035191176,0.880776471,0.084011765,0.139800882,13.765,up,1.592089251,0.269388928
3,2022-04-14,333.097,328.333,0.067710919,0.27976072,0.061230556,0.859105556,0.079655556,0.09439125,-4.764,down,-0.400149102,-0.556091369
4,2022-04-18,329.677,334.763,0.1188781,0.282175579,0.025993056,0.8664875,0.1075125,0.219177917,5.086,up,0.658923043,0.760367686
5,2022-04-19,335.02,342.717,0.115238554,0.276191836,0.030091667,0.874306944,0.095591667,0.1847675,7.697,up,0.939657801,0.666727326
6,2022-04-20,343.333,325.733,0.081014723,0.251117064,0.033261111,0.883461111,0.083269444,0.117910417,-17.6,down,-1.780276011,-0.213803353
7,2022-04-21,358.243,336.26,0.088764755,0.267609375,0.035571034,0.873623448,0.090773793,0.129189103,-21.983,down,-2.251536236,-0.014406024
8,2022-04-22,338.303,335.017,0.080204125,0.285055718,0.040823611,0.870893056,0.088193056,0.102827222,-3.286,down,-0.24123452,-0.234658886
9,2022-04-25,326.323,332.673,0.09579302,0.291043745,0.042034722,0.864834722,0.093122222,0.168048472,6.35,up,0.794828342,0.166421289
10,2022-04-26,331.81,292.14,0.06980153,0.267108412,0.034006126,0.892387443,0.073620214,0.115804594,-39.67,down,-4.153242736,-0.502302922
12,2022-05-02,286.923,300.98,0.100310456,0.310358625,0.038978261,0.867797101,0.093233333,0.172196522,14.057,up,1.623485095,0.282648514
13,2022-05-03,301.06,303.083,0.090983256,0.28153869,0.035875,0.874458333,0.089655556,0.142737083,2.023,up,0.329589238,0.042672868
14,2022-05-04,301.313,317.54,0.065380735,0.238782618,0.037059722,0.891601389,0.071323611,0.092455972,16.227,up,1.856803527,-0.616043723
16,2022-05-06,295.667,288.55,0.108549235,0.255539759,0.030034722,0.896377778,0.073598611,0.133960556,-7.117,down,-0.653143697,0.49462062
17,2022-05-09,278.817,262.37,0.098721656,0.271592291,0.037297744,0.883827068,0.078873684,0.120434887,-16.447,down,-1.656305434,0.241770951
19,2022-05-11,265,244.667,0.100172755,0.276607174,0.036513514,0.884654339,0.078832148,0.134965434,-20.333,down,-2.074128212,0.279105675
20,2022-05-12,233.667,242.667,0.082182379,0.254300197,0.041152083,0.869585417,0.0892875,0.143936667,9,up,1.079756381,-0.183761221
21,2022-05-13,257.827,256.53,0.143882344,0.342552671,0.046158554,0.874012517,0.079849791,0.110158414,-1.297,down,-0.027377211,1.403691455
22,2022-05-16,255.72,241.457,0.093238155,0.307645714,0.03673913,0.87204058,0.091201449,0.169762609,-14.263,down,-1.421481722,0.100688244
23,2022-05-17,249.12,253.87,0.13793045,0.313465924,0.033516667,0.853702778,0.112765278,0.227411111,4.75,up,0.622796318,1.250557655
24,2022-05-18,248.173,236.603,0.092074206,0.305930401,0.044975,0.875090278,0.079952778,0.119273889,-11.57,down,-1.131930322,0.070741463
25,2022-05-19,235.667,236.473,0.070666986,0.29197391,0.068561111,0.859490278,0.071945833,-0.019312222,0.806,up,0.19873738,-0.480035953
26,2022-05-20,237.997,221.3,0.062481694,0.300101452,0.056531944,0.861013889,0.082463889,0.036587361,-16.697,down,-1.683185438,-0.69063193
27,2022-05-23,218.34,224.967,0.13465385,0.337658408,0.077259722,0.835609722,0.087138889,0.048289722,6.627,up,0.824611386,1.166255377
28,2022-05-24,217.843,209.387,0.101929793,0.28384096,0.038906944,0.8707875,0.090306944,0.143403056,-8.456,down,-0.797112997,0.324311774
29,2022-05-25,207.95,219.6,0.075285889,0.21607898,0.033588889,0.896379167,0.070033333,0.089791111,11.65,up,1.36468442,-0.36119813
34,2022-06-02,244.157,258.333,0.08474662,0.312172636,0.043065434,0.881650071,0.075291607,0.105158464,14.176,up,1.636279977,-0.117786929
35,2022-06-03,243.225,234.517,0.064832675,0.283277063,0.051690278,0.864483333,0.083855556,0.088313611,-8.708,down,-0.82420804,-0.630144512
36,2022-06-06,244.353,238.28,0.062315749,0.304674659,0.049204167,0.859690278,0.091125,0.115626944,-6.073,down,-0.540892801,-0.69490146
37,2022-06-07,234,238.887,0.08563596,0.301023776,0.046836111,0.867569444,0.085583333,0.104273056,4.887,up,0.63752656,-0.094905486
38,2022-06-08,240.087,241.867,0.140947247,0.310588209,0.039690202,0.860550432,0.099759366,0.17569366,1.78,up,0.303461874,1.328175577
39,2022-06-09,249.34,239.707,0.091110986,0.290138386,0.036449721,0.871706704,0.091872905,0.182823464,-9.633,down,-0.923664054,0.045959197
40,2022-06-10,235.157,232.23,0.073253838,0.220170802,0.021320833,0.904991667,0.073697222,0.11728,-2.927,down,-0.202634835,-0.413479933
41,2022-06-13,223.167,215.737,0.088791103,0.260288005,0.031827778,0.884555556,0.083656944,0.179662083,-7.43,down,-0.686797461,-0.013728126
42,2022-06-14,218.287,220.89,0.119855934,0.2903464,0.032273611,0.881125,0.086615278,0.170826389,2.603,up,0.391950846,0.785525963
43,2022-06-15,220.917,233,0.092296513,0.285530218,0.039924394,0.879533524,0.080540656,0.115376177,12.083,up,1.411240586,0.07646112
44,2022-06-16,222.737,213.1,0.077361353,0.315016576,0.045460563,0.880639437,0.073891549,0.053443944,-9.637,down,-0.924094134,-0.30779938
45,2022-06-17,213.433,216.76,0.087264724,0.278438496,0.040308333,0.883677778,0.076013889,0.100161944,3.327,up,0.469795337,-0.052999685
46,2022-06-21,224.603,237.037,0.081100762,0.259582922,0.038845833,0.888255556,0.072877778,0.099526528,12.434,up,1.448980111,-0.211589701
47,2022-06-22,234.503,236.087,0.068616119,0.2482752,0.034690278,0.890780556,0.074501389,0.115539028,1.584,up,0.282387951,-0.532801856
48,2022-06-23,237.905,235.07,0.062933554,0.264857586,0.054316667,0.8818875,0.063793056,0.007196111,-2.835,down,-0.192742994,-0.679006225
49,2022-06-24,237.468,245.707,0.119307796,0.279508491,0.0508875,0.872943056,0.076181944,0.066717222,8.239,up,0.997933649,0.771423168
50,2022-06-27,249.367,244.92,0.102222351,0.291548916,0.029466019,0.891518724,0.0790319,0.151131623,-4.447,down,-0.366065258,0.331838877
53,2022-06-30,224.51,224.473,0.111099561,0.293523822,0.028627778,0.886384722,0.084975,0.142804306,-0.037,down,0.108098007,0.5602369
54,2022-07-01,227,227.263,0.060421412,0.308211016,0.0432125,0.888120833,0.068677778,0.084058611,0.263,up,0.140354012,-0.743640064
55,2022-07-05,223,233.067,0.118964787,0.300234846,0.043986111,0.858404167,0.097597222,0.126204444,10.067,up,1.194480236,0.76259801
56,2022-07-06,230.78,231.733,0.082141693,0.292674805,0.027566667,0.889291667,0.081756944,0.135288333,0.953,up,0.214542822,-0.184808006
57,2022-07-07,233.92,244.543,0.079170629,0.2563928,0.027860335,0.904259777,0.067877095,0.107725279,10.623,up,1.254261365,-0.261249292
58,2022-07-08,242.333,250.763,0.077271611,0.287408297,0.041007102,0.893387784,0.065610795,0.0496125,8.43,up,1.018469972,-0.310108335
59,2022-07-11,252.103,234.343,0.116689599,0.256620572,0.034830556,0.854493056,0.110723611,0.221237639,-17.76,down,-1.797479214,0.704060654
60,2022-07-12,236.847,233.07,0.085544885,0.324696435,0.033676389,0.879209722,0.087081944,0.133962639,-3.777,down,-0.294026848,-0.097248695
61,2022-07-13,225.5,237.04,0.076222122,0.279441669,0.040261111,0.874284722,0.085438889,0.114327639,11.54,up,1.352857218,-0.337110196
62,2022-07-14,234.897,238.313,0.087616233,0.286923093,0.027908696,0.900591304,0.071468116,0.149454928,3.416,up,0.479364618,-0.043955865
63,2022-07-15,240,240.067,0.059626617,0.265918918,0.035865278,0.901570833,0.062563889,0.08214625,0.067,up,0.119280089,-0.764089029
64,2022-07-18,244.937,240.547,0.061634415,0.286541661,0.042755556,0.895033333,0.062206944,0.065284306,-4.39,down,-0.359936617,-0.712431222
65,2022-07-19,245,245.53,0.03818003,0.265466196,0.032041667,0.899734722,0.068231944,0.0815575,0.53,up,0.169061856,-1.315879313
66,2022-07-20,246.783,247.5,0.053866886,0.289518018,0.0381375,0.894315278,0.067544444,0.078831667,0.717,up,0.189168099,-0.912278746
67,2022-07-21,255.107,271.707,0.068069587,0.255360459,0.035860795,0.897731534,0.066399148,0.081865767,16.6,up,1.896908493,-0.546863369
68,2022-07-22,276.22,272.243,0.073635962,0.249961375,0.034627778,0.891693056,0.073679167,0.120633194,-3.977,down,-0.315530851,-0.40364842
69,2022-07-25,272.217,268.433,0.058533581,0.234659278,0.037583333,0.888820402,0.073593391,0.111996121,-3.784,down,-0.294779488,-0.792211278
70,2022-07-26,266.513,258.86,0.068887733,0.271638059,0.0312,0.888425,0.080377778,0.137186528,-7.653,down,-0.710774425,-0.525813623
71,2022-07-27,263.81,274.82,0.083991154,0.267365783,0.032698611,0.884790278,0.082533333,0.123891944,11.01,up,1.29587161,-0.137224013
72,2022-07-28,280.067,280.9,0.116093857,0.277032572,0.029905556,0.8810625,0.089,0.171717778,0.833,up,0.20164042,0.688733061
73,2022-07-29,280.7,297.15,0.117128198,0.303134743,0.0300625,0.866130556,0.103786111,0.20679875,16.45,up,1.88078049,0.715345189
74,2022-08-01,301.275,297.277,0.1059435,0.273674811,0.019787143,0.909902857,0.070307143,0.167892286,-3.998,down,-0.317788771,0.427578758
75,2022-08-02,294.003,300.587,0.081328933,0.284579437,0.02548892,0.883409972,0.091105263,0.191127008,6.584,up,0.819988025,-0.205719169
76,2022-08-03,305,307.397,0.098960411,0.270473184,0.028437326,0.893534819,0.07804039,0.153814485,2.397,up,0.369801723,0.24791377
77,2022-08-04,311,308.633,0.102656885,0.271089663,0.034311111,0.888715278,0.076984722,0.135277361,-2.367,down,-0.142423627,0.343018802
78,2022-08-05,302.67,288.17,0.105946321,0.276339466,0.025529745,0.888780453,0.085706799,0.174458357,-14.5,down,-1.446963966,0.427651343
79,2022-08-08,295,290.423,0.057653312,0.279462563,0.035259722,0.887815278,0.0769125,0.11066125,-4.577,down,-0.380042859,-0.814859348
80,2022-08-09,290.293,283.333,0.099126372,0.270331535,0.031134722,0.892543056,0.076336111,0.146345278,-6.96,down,-0.636263055,0.2521837
81,2022-08-10,297.067,294.357,0.099069735,0.260251372,0.038813889,0.867275,0.093908333,0.137419306,-2.71,down,-0.179302992,0.25072653
82,2022-08-11,296.513,286.63,0.090617379,0.263362031,0.036633763,0.877778255,0.085585122,0.111167096,-9.883,down,-0.950544058,0.03325938
83,2022-08-12,289.415,300.03,0.086002331,0.272989523,0.036286111,0.897436111,0.066279167,0.099954167,10.615,up,1.253401204,-0.085479267
84,2022-08-15,301.787,309.32,0.077402139,0.258805543,0.025676389,0.862136111,0.112180556,0.222099861,7.533,up,0.922024519,-0.30675001
85,2022-08-16,311.667,306.563,0.087508616,0.219800035,0.021046377,0.904831884,0.07412029,0.151251739,-5.104,down,-0.436705907,-0.046724697
86,2022-08-17,303.397,303.997,0.064929411,0.260318694,0.024855556,0.894504167,0.080626389,0.144604444,0.6,up,0.176588257,-0.627655646
87,2022-08-18,306,302.87,0.060017816,0.209818487,0.036598611,0.897530556,0.0658375,0.04484875,-3.13,down,-0.224461398,-0.754024032
88,2022-08-19,299,296.667,0.092073283,0.251821194,0.022898611,0.893504167,0.083593056,0.170959583,-2.333,down,-0.138767946,0.070717715
89,2022-08-22,291.913,289.913,0.048928646,0.238707574,0.031419444,0.894548611,0.074020833,0.121808611,-2,down,-0.102963781,-1.039332663
90,2022-08-23,291.453,296.453,0.06711319,0.234740791,0.034269841,0.900366667,0.06535873,0.088711905,5,up,0.649676322,-0.571470106
91,2022-08-24,297.5633,297.0967,0.081567105,0.238082159,0.025822222,0.9037375,0.070436111,0.113135694,-0.4666,down,0.061907409,-0.19959135
92,2022-08-25,302.36,296.07,0.089343178,0.269571488,0.031877778,0.891904167,0.076204167,0.126933889,-6.29,down,-0.564224645,0.00047599
93,2022-08-26,297.43,288.09,0.073252014,0.214947237,0.0208,0.916903175,0.062303175,0.117858413,-9.34,down,-0.89216069,-0.413526845
94,2022-08-29,282.83,284.82,0.063970248,0.244096458,0.028506944,0.888704167,0.0827875,0.149926944,1.99,up,0.326041077,-0.652333534
95,2022-08-30,287.865,277.7,0.091301974,0.286904821,0.031301449,0.899818841,0.068886957,0.121715217,-10.165,down,-0.980864702,0.050873031
96,2022-08-31,280.62,275.61,0.081700728,0.261566509,0.0374625,0.897748611,0.064773611,0.066151111,-5.01,down,-0.426599026,-0.196153408
97,2022-09-01,272.575,277.16,0.079028004,0.255150585,0.035684971,0.895916185,0.068397399,0.096446821,4.585,up,0.605055516,-0.264918827
98,2022-09-02,281.065,270.21,0.053536123,0.256742754,0.054238889,0.886127778,0.059633333,0.012669722,-10.855,down,-1.055053512,-0.9207888
99,2022-09-06,272.675,274.42,0.095899944,0.27075845,0.029870833,0.899184722,0.070936111,0.130074167,1.745,up,0.299698674,0.169172298
100,2022-09-07,273.1,283.7,0.078692329,0.286737468,0.058029412,0.862894958,0.079071429,0.07185112,10.6,up,1.251788404,-0.273555263
101,2022-09-08,281.3,289.26,0.070256397,0.239102509,0.034448951,0.89840979,0.067142657,0.102378601,7.96,up,0.967935565,-0.490599828
102,2022-09-09,291.67,299.68,0.092625226,0.264860843,0.022056944,0.906855556,0.071081944,0.144776944,8.01,up,0.973311566,0.084918449
103,2022-09-12,300.72,304.42,0.109955324,0.298861314,0.032854167,0.893477778,0.073669444,0.123761389,3.7,up,0.509900303,0.530797295
104,2022-09-13,292.9,292.13,0.113019071,0.280805548,0.029423957,0.898275908,0.072297443,0.129602692,-0.77,down,0.029285837,0.60962318
105,2022-09-14,292.24,302.61,0.069891627,0.260613112,0.029891667,0.900101389,0.069997222,0.118056667,10.37,up,1.227058801,-0.499984856
106,2022-09-15,301.825,303.75,0.066082837,0.273481254,0.038547222,0.8924625,0.068977778,0.082724028,1.925,up,0.319052276,-0.597979627
107,2022-09-16,299.605,303.35,0.043943647,0.277503179,0.036068814,0.899708638,0.064225476,0.081348463,3.745,up,0.514738703,-1.16758962
108,2022-09-19,300.09,309.07,0.099229422,0.279057393,0.032490278,0.880055556,0.087438889,0.15536375,8.98,up,1.07760598,0.254835054
109,2022-09-20,306.91,308.73,0.107169559,0.31138047,0.027108787,0.885637378,0.087248257,0.17616569,1.82,up,0.307762675,0.459123511
110,2022-09-21,308.29,300.8,0.105584859,0.258603477,0.028245333,0.897646667,0.074108,0.144447067,-7.49,down,-0.693248662,0.41835144
111,2022-09-22,299.86,288.59,0.109386981,0.264240057,0.029991667,0.886615278,0.083388889,0.168633472,-11.27,down,-1.099674318,0.516174635
112,2022-09-23,283.09,275.33,0.104316731,0.299286409,0.032695833,0.875893056,0.091416667,0.176708056,-7.76,down,-0.722279066,0.385724296
113,2022-09-26,271.83,276.01,0.093378148,0.267008107,0.029068056,0.893169444,0.077754167,0.133236806,4.18,up,0.56150991,0.104290066
114,2022-09-27,283.84,282.94,0.094649253,0.26322359,0.024762431,0.899763812,0.075479282,0.179908425,-0.9,down,0.015308235,0.136993782
115,2022-09-28,283.08,287.81,0.103348917,0.27501183,0.028607542,0.879861732,0.09152933,0.225880866,4.73,up,0.620645918,0.360823809
116,2022-09-29,282.76,268.21,0.134496073,0.294875137,0.021510145,0.901333333,0.07716087,0.180225942,-14.55,down,-1.452339966,1.162195991
117,2022-09-30,266.145,265.25,0.12411673,0.27654069,0.030656944,0.887377778,0.081955556,0.157816667,-0.895,down,0.015845835,0.895150209
118,2022-10-03,254.5,242.4,0.078562082,0.272030645,0.030688889,0.889608333,0.079706944,0.162505278,-12.1,down,-1.18891593,-0.276906326
119,2022-10-04,250.52,249.44,0.07738547,0.21239787,0.057287943,0.879479433,0.063249645,-0.047086241,-1.08,down,-0.004045368,-0.30717889
120,2022-10-05,245.01,240.81,0.109025073,0.227675337,0.045726389,0.879043056,0.075226389,0.0137725,-4.2,down,-0.339507814,0.506863263
122,2022-10-07,233.935,223.07,0.117654953,0.273849935,0.032191643,0.885008646,0.082792507,0.151043804,-10.865,down,-1.056128712,0.728897855
123,2022-10-10,223.93,222.96,0.105850991,0.261813578,0.033194951,0.900772791,0.066012623,0.139376157,-0.97,down,0.007781834,0.425198619
124,2022-10-11,220.945,216.5,0.101914651,0.282542966,0.036968056,0.876975,0.08605,0.172522778,-4.445,down,-0.365850217,0.323922173
125,2022-10-12,215.33,217.24,0.068871677,0.240440782,0.041998611,0.881604167,0.076402778,0.103662083,1.91,up,0.317439476,-0.526226728
126,2022-10-13,208.3,221.72,0.122384549,0.281874132,0.029655647,0.884092287,0.08626584,0.188036364,13.42,up,1.554994846,0.850583651
127,2022-10-14,224.01,204.99,0.088343335,0.222643671,0.034386111,0.893827778,0.071780556,0.12757375,-19.02,down,-1.932954432,-0.025248549
128,2022-10-17,210.04,219.35,0.109008173,0.239515286,0.026493488,0.888230101,0.085277858,0.206408538,9.31,up,1.113087585,0.506428461
129,2022-10-18,229.5,220.19,0.076249721,0.236284666,0.025822222,0.891984722,0.082190278,0.190400833,-9.31,down,-0.888935089,-0.336400093
130,2022-10-19,219.8,222.04,0.079036877,0.27869171,0.025968056,0.913826389,0.060205556,0.115132639,2.24,up,0.352921081,-0.264690534
131,2022-10-20,208.28,207.28,0.069061968,0.191444864,0.029291667,0.910626389,0.0600875,0.106024028,-1,down,0.004556233,-0.521330792
132,2022-10-21,206.415,214.44,0.052653863,0.253567883,0.027443056,0.905422222,0.067156944,0.11776875,8.025,up,0.974924366,-0.9434881
133,2022-10-24,205.82,211.25,0.081521375,0.241929455,0.041307255,0.89029303,0.068399716,0.10812973,5.43,up,0.695909928,-0.200767911
134,2022-10-25,210.1,222.415,0.09475611,0.265662815,0.031465217,0.901969565,0.066562319,0.127309855,12.315,up,1.436185229,0.139743068
135,2022-10-26,219.4,224.64,0.11605094,0.303128763,0.035848714,0.872267776,0.091869894,0.169748865,5.24,up,0.675481125,0.687628876
136,2022-10-27,229.77,225.09,0.08410705,0.275162968,0.036530303,0.884140909,0.079339394,0.156218333,-4.68,down,-0.391117421,-0.134242163
137,2022-10-28,225.4,228.52,0.043813558,0.264555069,0.029063889,0.888230556,0.082701389,0.146733056,3.12,up,0.447538694,-1.17093663
138,2022-10-31,226.19,227.54,0.093198291,0.261478739,0.037411111,0.887002778,0.075579167,0.097175139,1.35,up,0.257228268,0.099662597
139,2022-11-01,234.05,227.82,0.103101422,0.250296774,0.030393056,0.898418056,0.071173611,0.124233194,-6.23,down,-0.557773444,0.354456104
140,2022-11-02,226.04,214.98,0.105627861,0.273556542,0.044125904,0.886723589,0.069156295,0.081001158,-11.06,down,-1.077095115,0.419457808
141,2022-11-03,211.36,215.31,0.086634158,0.266129714,0.050441667,0.883783333,0.065863889,0.032451806,3.95,up,0.536780306,-0.069223242
142,2022-11-04,222.6,207.47,0.101149755,0.271449367,0.040973611,0.883881944,0.075147222,0.103445417,-15.13,down,-1.514701575,0.30424249
143,2022-11-07,208.65,197.08,0.067348154,0.271530506,0.043519403,0.86530597,0.091153731,0.120413433,-11.57,down,-1.131930322,-0.565424818
144,2022-11-08,194.02,191.3,0.075517556,0.308039247,0.046128058,0.872,0.08185036,0.087291367,-2.72,down,-0.180378192,-0.355237661
145,2022-11-09,190.775,177.59,0.060422135,0.22446425,0.050598611,0.878973611,0.070418056,0.056075417,-13.185,down,-1.305575146,-0.743621453
146,2022-11-10,189.9,190.72,0.102951693,0.280519415,0.043643478,0.883634783,0.072721739,0.108610725,0.82,up,0.20024266,0.35060381
147,2022-11-11,186,195.97,0.080822991,0.277186033,0.040436111,0.891331944,0.068227778,0.106120833,9.97,up,1.184050795,-0.218736342
,,,,,,,,,,,,,
